,model,cluster,top_hue,top_accuracy,top_crop
0,barlow,0,,28.611054000000003,0.2
1,barlow,1,,44.5450788,0.5
2,barlow,2,,53.5404,0.2
3,barlow,3,,56.2117388,0.7
4,barlow,4,,54.347497999999995,0.3
5,barlow,5,,56.30566440000001,0.6
6,barlow,6,,55.70315480000001,0.5
7,barlow,7,,38.4254892,0.2
8,barlow,8,,30.031107199999997,0.6
9,barlow,9,,63.93698559999999,0.6
10,barlow,10,,62.001105200000005,0.2
11,barlow,11,,37.3658464,0.3
12,barlow,12,,41.9825532,0.7
13,barlow,13,,36.1884052,0.6
14,barlow,14,,29.182933600000002,0.5
15,barlow,15,,26.681681199999996,0.5
16,barlow,16,,23.079625999999998,0.3
17,barlow,17,,50.1796056,0.8
18,barlow,18,,52.185776,0.5
19,barlow,19,,57.11145280000001,0.6
20,byol,0,,32.005447600000004,0.3
21,byol,1,,46.626781199999996,0.3
22,byol,2,,51.9289264,0.3
23,byol,3,,56.226152400000004,0.3
24,byol,4,,58.72147199999999,0.3
25,byol,5,,55.597337200000005,0.4
26,byol,6,,57.4409204,0.4
27,byol,7,,41.7511932,0.3
28,byol,8,,36.05943,0.8
29,byol,9,,65.8373392,0.8
30,byol,10,,63.7443264,0.3
31,byol,11,,43.555110400000004,0.3
32,byol,12,,45.334171600000005,0.8
33,byol,13,,39.130591599999995,0.8
34,byol,14,,33.3506548,0.3
35,byol,15,,31.494440400000002,0.8
36,byol,16,,27.816995600000002,0.4
37,byol,17,,52.345636400000004,0.8
38,byol,18,,53.208272,0.8
39,byol,19,,57.7083216,0.7
40,mocov2plus,0,,29.2731128,0.4
41,mocov2plus,1,,47.4113964,0.7
42,mocov2plus,2,,51.2758204,0.3
43,mocov2plus,3,,60.6969872,0.8
44,mocov2plus,4,,56.5846856,0.8
45,mocov2plus,5,,60.7199608,0.8
46,mocov2plus,6,,61.4179056,0.8
47,mocov2plus,7,,41.8797108,0.8
48,mocov2plus,8,,40.27566160000001,0.8
49,mocov2plus,9,,67.8679196,0.8
50,mocov2plus,10,,60.418161999999995,0.8
51,mocov2plus,11,,46.526686,0.8
52,mocov2plus,12,,47.747947599999996,0.8
53,mocov2plus,13,,40.835054400000004,0.5
54,mocov2plus,14,,33.5205096,0.8
55,mocov2plus,15,,32.3900812,0.7
56,mocov2plus,16,,33.633364,0.8
57,mocov2plus,17,,54.3104912,0.8
58,mocov2plus,18,,55.88634520000001,0.8
59,mocov2plus,19,,60.49502,0.7
60,simclr,0,,28.9485164,0.9
61,simclr,1,,42.03882,0.8
62,simclr,2,,47.5388928,0.3
63,simclr,3,,56.738212,0.8
64,simclr,4,,54.5112608,0.8
65,simclr,5,,56.1693188,0.7
66,simclr,6,,56.65130039999999,0.8
67,simclr,7,,40.1314908,0.7
68,simclr,8,,38.396091999999996,0.8
69,simclr,9,,66.0428368,0.8
70,simclr,10,,61.5439008,0.8
71,simclr,11,,42.6004704,0.8
72,simclr,12,,46.2349072,0.8
73,simclr,13,,37.9881984,0.8
74,simclr,14,,29.522618799999996,0.8
75,simclr,15,,29.929501199999997,0.8
76,simclr,16,,30.8453708,0.8
77,simclr,17,,54.0391476,0.8
78,simclr,18,,53.8919496,0.8
79,simclr,19,,58.012507600000006,0.8
80,vicreg,0,,29.3407876,0.8
81,vicreg,1,,45.548746,0.6
82,vicreg,2,,49.3771316,0.8
83,vicreg,3,,60.0318392,0.8
84,vicreg,4,,56.8621584,0.8
85,vicreg,5,,59.5118356,0.8
86,vicreg,6,,59.6157244,0.8
87,vicreg,7,,41.8577748,0.8
88,vicreg,8,,38.476228000000006,0.8
89,vicreg,9,,68.95663239999999,0.8
90,vicreg,10,,62.083131200000004,0.8
91,vicreg,11,,44.432444,0.8
92,vicreg,12,,48.2398536,0.8
93,vicreg,13,,42.26158840000001,0.8
94,vicreg,14,,30.870043599999995,0.7
95,vicreg,15,,30.6910612,0.8
96,vicreg,16,,29.4571796,0.8
97,vicreg,17,,54.6284768,0.8
98,vicreg,18,,55.79996559999999,0.8
99,vicreg,19,,61.6403164,0.7
