,model,cluster,top_hue,top_accuracy,top_jitter
0,barlow,0,,48.000725333333335,0.25
1,barlow,1,,68.334348,0.65
2,barlow,2,,75.28671266666666,0.15
3,barlow,3,,71.728692,0.35
4,barlow,4,,76.41363999999999,0.35
5,barlow,5,,76.08531266666667,0.55
6,barlow,6,,73.12042533333333,1.0
7,barlow,7,,66.306904,0.4
8,barlow,8,,63.275525333333334,0.55
9,barlow,9,,83.71374799999998,0.3
10,barlow,10,,77.13955,0.65
11,barlow,11,,65.25318466666667,0.85
12,barlow,12,,66.90439133333334,0.3
13,barlow,13,,62.83050266666667,0.75
14,barlow,14,,49.700728000000005,0.75
15,barlow,15,,50.069925999999995,0.65
16,barlow,16,,49.564856,0.35
17,barlow,17,,69.088876,0.25
18,barlow,18,,77.87456,1.0
19,barlow,19,,80.07894333333334,0.75
20,byol,0,,49.27161733333334,0.45
21,byol,1,,68.35894866666666,0.75
22,byol,2,,75.69456799999999,0.2
23,byol,3,,71.185026,0.35
24,byol,4,,75.57959333333332,0.15
25,byol,5,,75.310396,0.85
26,byol,6,,74.21458933333334,0.1
27,byol,7,,68.57361133333333,0.55
28,byol,8,,68.41086133333333,0.3
29,byol,9,,82.85764866666666,0.5
30,byol,10,,76.92003666666666,0.95
31,byol,11,,67.88177933333333,0.85
32,byol,12,,70.78605,0.35
33,byol,13,,63.79140199999999,0.5
34,byol,14,,49.029558,0.25
35,byol,15,,53.28515333333333,0.55
36,byol,16,,53.427824,0.5
37,byol,17,,68.37462266666667,0.3
38,byol,18,,77.581304,0.55
39,byol,19,,81.23534466666665,0.45
40,dino,0,,46.06582,0.85
41,dino,1,,61.88742333333333,0.5
42,dino,2,,70.032274,0.3
43,dino,3,,65.973916,0.65
44,dino,4,,72.74794133333333,0.35
45,dino,5,,69.37715933333332,0.75
46,dino,6,,69.935854,0.75
47,dino,7,,62.296565333333334,0.2
48,dino,8,,58.989112,0.45
49,dino,9,,80.45443600000002,0.95
50,dino,10,,76.79394466666666,0.95
51,dino,11,,60.823630666666666,0.55
52,dino,12,,59.67449200000001,0.5
53,dino,13,,54.55110933333333,0.65
54,dino,14,,45.20640066666667,0.85
55,dino,15,,45.266975333333335,1.0
56,dino,16,,45.24859933333333,0.95
57,dino,17,,67.32367066666667,0.85
58,dino,18,,75.34535733333333,0.75
59,dino,19,,76.03226533333333,0.85
60,nnbyol,0,,49.617495999999996,0.35
61,nnbyol,1,,68.13225466666667,0.65
62,nnbyol,2,,75.34627400000001,0.3
63,nnbyol,3,,72.03612866666667,0.5
64,nnbyol,4,,74.87917266666666,0.35
65,nnbyol,5,,74.495068,0.95
66,nnbyol,6,,74.96048266666666,0.55
67,nnbyol,7,,67.05758399999999,0.45
68,nnbyol,8,,65.94111466666666,0.55
69,nnbyol,9,,82.40546333333332,0.75
70,nnbyol,10,,75.69518466666668,0.3
71,nnbyol,11,,67.65175066666669,0.65
72,nnbyol,12,,70.04352866666667,0.3
73,nnbyol,13,,62.92489666666667,0.4
74,nnbyol,14,,48.820712666666665,0.85
75,nnbyol,15,,52.400082,0.75
76,nnbyol,16,,53.132992,1.0
77,nnbyol,17,,68.51277333333333,0.85
78,nnbyol,18,,77.19431066666667,0.75
79,nnbyol,19,,80.17858066666666,0.45
80,simclr,0,,47.06141600000001,0.5
81,simclr,1,,66.77960333333333,0.45
82,simclr,2,,73.52849266666666,0.5
83,simclr,3,,68.50608,0.45
84,simclr,4,,74.97792066666666,0.3
85,simclr,5,,74.002384,0.45
86,simclr,6,,72.34352733333333,1.0
87,simclr,7,,66.83785266666666,0.4
88,simclr,8,,66.82181933333334,1.0
89,simclr,9,,82.14541799999999,0.4
90,simclr,10,,77.43033466666667,0.65
91,simclr,11,,64.90952533333333,0.95
92,simclr,12,,67.81625866666667,0.3
93,simclr,13,,60.407122666666666,0.4
94,simclr,14,,45.503081333333334,1.0
95,simclr,15,,49.241401999999994,0.75
96,simclr,16,,50.126450666666656,0.85
97,simclr,17,,67.444076,0.5
98,simclr,18,,76.42782266666666,0.55
99,simclr,19,,79.72721066666665,0.85
100,vicreg,0,,46.358120666666665,0.95
101,vicreg,1,,65.93809933333333,0.5
102,vicreg,2,,73.18893733333333,0.75
103,vicreg,3,,70.652586,0.55
104,vicreg,4,,72.07752333333335,0.65
105,vicreg,5,,74.18481866666666,1.0
106,vicreg,6,,72.82879666666668,0.95
107,vicreg,7,,63.71529333333333,0.65
108,vicreg,8,,65.05630800000002,0.95
109,vicreg,9,,82.46440666666666,0.65
110,vicreg,10,,74.24198866666666,0.95
111,vicreg,11,,64.774666,0.85
112,vicreg,12,,67.89346533333335,0.95
113,vicreg,13,,61.173133333333325,0.65
114,vicreg,14,,46.484884666666666,0.55
115,vicreg,15,,49.558214666666665,0.75
116,vicreg,16,,50.69275066666667,1.0
117,vicreg,17,,67.15814800000001,0.85
118,vicreg,18,,77.613514,0.75
119,vicreg,19,,79.80689733333332,0.85
120,mocov2plus,0,,49.17796466666666,1.0
121,mocov2plus,1,,70.70823666666666,0.7
122,mocov2plus,2,,77.54725533333334,0.05
123,mocov2plus,3,,73.47524733333333,0.85
124,mocov2plus,4,,77.37863999999999,0.0
125,mocov2plus,5,,77.84748533333334,0.9
126,mocov2plus,6,,76.87997133333333,0.7
127,mocov2plus,7,,72.15902066666666,0.75
128,mocov2plus,8,,69.58728066666666,0.55
129,mocov2plus,9,,84.38337533333333,0.8
130,mocov2plus,10,,80.11155,0.75
131,mocov2plus,11,,67.69968533333333,0.8
132,mocov2plus,12,,71.82370733333333,0.65
133,mocov2plus,13,,66.73910066666666,0.75
134,mocov2plus,14,,49.065203333333336,0.1
135,mocov2plus,15,,55.146886666666674,0.95
136,mocov2plus,16,,53.78444,0.8
137,mocov2plus,17,,69.95106866666666,0.65
138,mocov2plus,18,,79.80946733333333,0.65
139,mocov2plus,19,,81.71916133333335,0.85
